fips,name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2022,percentChange_2020_2022
48371,Pecos,14675,16793,15507,15197,14735,-3.00%
48373,Polk,30687,41152,45413,50119,53255,6.30%
48375,Potter,97841,113655,121073,118527,115645,-2.40%
48377,Presidio,6637,7304,7818,6134,5939,-3.20%
48379,Rains,6715,9128,10914,12154,12823,5.50%
48381,Randall,89673,104176,120725,140761,146140,3.80%
48383,Reagan,4514,3325,3367,3383,3135,-7.30%
48385,Real,2412,3046,3309,2751,2840,3.20%
48387,Red River,14317,14314,12860,11588,11542,-0.40%
48389,Reeves,15852,13141,13783,14741,12905,-12.50%
48391,Refugio,7976,7830,7383,6739,6632,-1.60%
48393,Roberts,1025,887,929,828,803,-3.00%
48395,Robertson,15511,15972,16622,16759,17153,2.40%
48397,Rockwall,25604,43023,78337,107832,123208,14.30%
48399,Runnels,11294,11473,10501,9899,9859,-0.40%
48401,Rusk,43735,47410,53330,52223,53333,2.10%
48403,Sabine,9586,10400,10834,9892,10048,1.60%
48405,San Augustine,7999,8939,8865,7921,7857,-0.80%
48407,San Jacinto,16372,22211,26384,27399,28348,3.50%
48409,San Patricio,58749,67273,64804,68754,69954,1.70%
48411,San Saba,5401,6185,6131,5720,5824,1.80%
48413,Schleicher,2990,2934,3461,2454,2357,-4.00%
48415,Scurry,18634,16366,16921,16929,16686,-1.40%
48417,Shackelford,3316,3302,3378,3102,3186,2.70%
48419,Shelby,22034,25215,25448,24022,24008,-0.10%
48421,Sherman,2858,3184,3034,2780,2799,0.70%
48423,Smith,151309,174861,209714,233484,241922,3.60%
48425,Somervell,5360,6913,8490,9204,9757,6.00%
48427,Starr,40518,53573,60968,65918,65728,-0.30%
48429,Stephens,9010,9676,9630,9104,9390,3.10%
48431,Sterling,1438,1393,1143,1369,1417,3.50%
48433,Stonewall,2013,1691,1490,1246,1182,-5.10%
48435,Sutton,4135,4073,4128,3372,3217,-4.60%
48437,Swisher,8133,8369,7854,6971,6881,-1.30%
48439,Tarrant,1170103,1449290,1809034,2110608,2154595,2.10%
48441,Taylor,119655,126606,131506,143205,145163,1.40%
48443,Terrell,1410,1081,984,760,693,-8.80%
48445,Terry,13218,12757,12651,11832,11567,-2.20%
48447,Throckmorton,1880,1847,1641,1442,1550,7.50%
48449,Titus,24009,28118,32334,31245,31208,-0.10%
48451,Tom Green,98458,104015,110224,120007,118892,-0.90%
48453,Travis,576407,811776,1024266,1290209,1326436,2.80%
48455,Trinity,11445,13748,14585,13600,13996,2.90%
48457,Tyler,16646,20842,21766,19799,20030,1.20%
48459,Upshur,31370,35308,39309,40890,42488,3.90%
