fips,name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2022,percentChange_2020_2022
Missouri,"5,116,901",5988927,6154920,6177957,0,,
Montana,"799,065",989415,1084197,1122867,0,,
Nebraska,"1,578,417",1826341,1961489,1967923,0,,
Nevada,"1,201,675",2700551,3104624,3177772,0,,
New Hampshire,"1,109,252",1316470,1377518,1395231,0,,
New Jersey,"7,747,750",8791894,9289031,9261699,0,,
New Mexico,"1,515,069",2059179,2117527,2113344,0,,
New York,"17,990,778",19378102,20201230,19677151,0,,
North Carolina,"6,632,448",9535483,10439414,10698973,0,,
North Dakota,"638,800",672591,779091,779261,0,,
Ohio,"10,847,115",11536504,11799374,11756058,0,,
Oklahoma,"3,145,576",3751351,3959346,4019800,0,,
Oregon,"2,842,337",3831074,4237291,4240137,0,,
Pennsylvania,"11,882,842",12702379,13002689,12972008,0,,
Rhode Island,"1,003,464",1052567,1097371,1093734,0,,
South Carolina,"3,486,310",4625364,5118429,5282634,0,,
South Dakota,"696,004",814180,886677,909824,0,,
Tennessee,"4,877,203",6346105,6910786,7051339,0,,
Texas,"16,986,335",25145561,29145428,30029572,0,,
Utah,"1,722,850",2763885,3271614,3380800,0,,
Vermont,"562,758",625741,643085,647064,0,,
Virginia,"6,189,197",8001024,8631384,8683619,0,,
Washington,"4,866,669",6724540,7705247,7785786,0,,
West Virginia,"1,793,477",1852994,1793755,1775156,0,,
Wisconsin,"4,891,954",5686986,5893725,5892539,0,,
Wyoming,"453,589",563626,576837,581381,0,,
Puerto Rico,"3,522,037",3725789,3285874,3221789,0,,
