fips,name,state,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),% of State Median HH Income
48119,Delta,TX,6.1,4.6,3.8,3.4,3.5,3.4,5.5,4.9,4,50329,75.2
48121,Denton,TX,4.5,3.6,3.4,3.4,3.2,3,6.4,4.4,3.2,98027,146.4
48123,DeWitt,TX,3.9,4,5.5,4.4,3.2,2.6,6.1,4.9,3.4,54279,81.1
48125,Dickens,TX,6.3,4.7,4.9,4.9,4.3,4.2,6.2,5.2,4.8,42690,63.8
48127,Dimmit,TX,3.8,4.7,7.1,5.1,3,2.5,6.4,5.6,3.8,41838,62.5
48129,Donley,TX,4.9,4.2,4,3.7,3.5,3.4,4.4,4.2,3.6,44353,66.2
48131,Duval,TX,5.6,8.1,10.9,7.7,5.3,4.5,12.2,8,4.5,37921,56.6
48133,Eastland,TX,4.9,4.8,5.5,4.3,3.4,3.3,6.7,5.7,4.6,47526,71
48135,Ector,TX,3.5,4.7,6.4,4.1,2.7,2.7,11.1,8,3.9,58389,87.2
48137,Edwards,TX,4.4,4.6,4.6,3.2,2.9,2.3,3.6,4.3,2.8,47573,71
48139,Ellis,TX,5,4,3.8,3.5,3.3,3.1,6,4.5,3.5,87698,131
48141,El Paso,TX,6.5,5.2,5,4.7,4.3,3.8,8.3,6.2,4.3,50983,76.1
48143,Erath,TX,4.3,4,4.1,3.4,3.1,3.2,5.7,4.5,3.5,51964,77.6
48145,Falls,TX,5.6,4.3,4.4,4.3,3.9,3.3,6.1,5.3,4.1,46173,69
48147,Fannin,TX,5.4,4.1,3.8,3.4,3.1,2.8,4.7,4.1,3.5,56794,84.8
48149,Fayette,TX,3.5,3.3,3.7,3.2,2.8,2.6,4.7,4.3,3.5,64711,96.6
48151,Fisher,TX,4.6,3.9,4.3,3.6,3.2,2.9,4.5,4.2,3.5,51362,76.7
48153,Floyd,TX,7.2,5.6,5,5.5,5.2,4.4,6.2,5.7,4.1,43855,65.5
48155,Foard,TX,4.3,4.2,3.7,3.6,2.9,3,4.2,3.4,3.2,42616,63.6
48157,Fort Bend,TX,4.6,4.3,5,4.7,4,3.5,7.6,5.9,3.9,98070,146.5
48159,Franklin,TX,5.2,4.9,4.9,4.7,4.2,3.6,5.4,4.4,3.2,51885,77.5
48161,Freestone,TX,5.7,5.5,6.7,6.4,5.9,4.8,8.4,7.2,5.3,48397,72.3
48163,Frio,TX,3.6,3.9,4.9,4,2.9,2.6,5.7,4.8,3.4,47833,71.4
48165,Gaines,TX,3.3,3.3,3.7,3.1,2.6,2.4,5.6,4.6,3,58712,87.7
48167,Galveston,TX,5.7,5,5.3,5.3,4.7,4.1,8.8,6.6,4.4,77627,115.9
48169,Garza,TX,3.7,3.7,3.9,3.3,2.9,2.6,6.8,4.9,4.1,43890,65.5
48171,Gillespie,TX,3.6,2.9,2.8,2.6,2.6,2.4,4.8,3.4,2.6,71594,106.9
48173,Glasscock,TX,2.7,2.8,3.9,2.7,2.1,2.1,3.6,3.1,2.6,116958,174.7
48175,Goliad,TX,4.2,4.5,5.8,5,3.8,3.4,7.8,6.5,4.4,58937,88
48177,Gonzales,TX,3.9,3.7,4.2,3.5,3.1,2.7,5.4,4.3,3.2,48164,71.9
48179,Gray,TX,4.1,5.7,6.9,5.3,3.9,3.6,8.1,6.6,4.5,45530,68
48181,Grayson,TX,4.9,4.1,3.9,3.6,3.3,3.1,5.9,4.7,3.7,62678,93.6
48183,Gregg,TX,4.9,5,6.1,5.2,4.2,3.8,8.3,6.4,4.2,57608,86
48185,Grimes,TX,4.8,5.4,6.6,5.4,4.2,4,8.1,6.6,4.5,52540,78.5
